SOA2001,2010_income_score
95AA01S1,0.00
95AA01S2,0.09
95AA01S3,0.10
95AA02W1,0.24
95AA03W1,0.30
95AA04W1,0.09
95AA05W1,0.14
95AA06S1,0.17
95AA06S2,0.18
95AA07W1,0.17
95AA08W1,0.38
95AA09W1,0.32
95AA10W1,0.31
95AA11S1,0.16
95AA11S2,0.08
95AA12W1,0.07
95AA13S1,0.14
95AA13S2,0.21
95AA14W1,0.11
95AA15S1,0.17
95AA15S2,0.23
95AA16W1,0.31
95AA17W1,0.24
95AA18W1,0.08
95AA19W1,0.25
95BB01S1,0.11
95BB01S2,0.10
95BB02W1,0.29
95BB03S1,0.24
95BB03S2,0.13
95BB04S1,0.18
95BB04S2,0.07
95BB05S1,0.14
95BB05S2,0.15
95BB06W1,0.38
95BB07S1,0.25
95BB07S2,0.13
95BB08S1,0.34
95BB08S2,0.06
95BB09S1,0.10
95BB09S2,0.10
95BB10S1,0.22
95BB10S2,0.10
95BB11S1,0.31
95BB11S2,0.18
95BB12S1,0.40
95BB12S2,0.16
95BB13S1,0.22
95BB13S2,0.26
95BB13S3,0.09
95BB14S1,0.09
95BB14S2,0.07
95BB15S1,0.15
95BB15S2,0.28
95BB16S1,0.04
95BB16S2,0.06
95BB17S1,0.15
95BB17S2,0.22
95BB18S1,0.32
95BB18S2,0.10
95BB19S1,0.10
95BB19S2,0.06
95BB19S3,0.07
95BB20S1,0.20
95BB20S2,0.37
95BB21S1,0.24
95BB21S2,0.17
95BB22S1,0.28
95BB22S2,0.37
95BB23S1,0.07
95BB23S2,0.06
95CC01W1,0.26
95CC02W1,0.22
95CC03W1,0.48
95CC04W1,0.23
95CC05W1,0.22
95CC06S1,0.14
95CC06S2,0.20
95CC07W1,0.25
95CC08W1,0.36
95CC09S1,0.08
95CC09S2,0.14
95CC10W1,0.13
95CC11W1,0.40
95CC12W1,0.17
95CC13W1,0.17
95CC14W1,0.15
95CC15W1,0.17
95CC16W1,0.25
95CC17W1,0.17
95CC18W1,0.19
95CC19W1,0.19
95CC20S1,0.10
95CC20S2,0.16
95CC21W1,0.20
95CC22W1,0.23
95DD01W1,0.15
95DD02S1,0.20
95DD02S2,0.10
95DD03W1,0.09
95DD04W1,0.46
95DD05W1,0.43
95DD06W1,0.08
95DD07S1,0.16
95DD07S2,0.14
95DD08W1,0.32
95DD09W1,0.11
95DD10W1,0.24
95DD11W1,0.40
95DD12W1,0.11
95DD13W1,0.34
95DD14S1,0.11
95DD14S2,0.04
95DD15W1,0.16
95DD16W1,0.10
95DD17W1,0.13
95DD18W1,0.29
95DD19S1,0.19
95DD19S2,0.10
95DD20W1,0.39
95DD21W1,0.16
95DD22S1,0.17
95DD22S2,0.23
95DD23W1,0.11
95DD24W1,0.16
95EE01W1,0.21
95EE02W1,0.29
95EE03W1,0.31
95EE04W1,0.20
95EE05W1,0.20
95EE06W1,0.20
95EE07W1,0.28
95EE08W1,0.18
95EE09W1,0.25
95EE10W1,0.21
95EE11W1,0.18
95EE12W1,0.36
95EE13W1,0.30
95EE14W1,0.21
95EE15W1,0.21
95EE16W1,0.18
95FF01S1,0.10
95FF01S2,0.10
95FF02W1,0.17
95FF03W1,0.24
95FF04W1,0.13
95FF05W1,0.23
95FF06S1,0.17
95FF06S2,0.09
95FF07W1,0.31
95FF08W1,0.22
95FF09W1,0.28
95FF10W1,0.13
95FF11W1,0.14
95FF12W1,0.18
95FF13W1,0.16
95FF14W1,0.12
95FF15W1,0.28
95FF16W1,0.16
95FF17W1,0.34
95GG01S1,0.31
95GG01S2,0.36
95GG01S3,0.34
95GG02S1,0.60
95GG02S2,0.60
95GG02S3,0.76
95GG03S1,0.12
95GG03S2,0.12
95GG03S3,0.21
95GG04S1,0.55
95GG04S2,0.61
95GG04S3,0.56
95GG05S1,0.21
95GG05S2,0.19
95GG05S3,0.33
95GG06S1,0.39
95GG06S2,0.27
95GG06S3,0.20
95GG07S1,0.41
95GG07S2,0.58
95GG07S3,0.42
95GG08S1,0.19
95GG08S2,0.39
95GG08S3,0.36
95GG09S1,0.06
95GG09S2,0.15
95GG09S3,0.31
95GG10S1,0.33
95GG10S2,0.44
95GG11S1,0.40
95GG11S2,0.15
95GG11S3,0.31
95GG12S1,0.06
95GG12S2,0.09
95GG12S3,0.11
95GG12S4,0.13
95GG12S5,0.55
95GG13S1,0.34
95GG13S2,0.15
95GG13S3,0.32
95GG14S1,0.08
95GG14S2,0.08
95GG14S3,0.09
95GG15S1,0.06
95GG15S2,0.08
95GG15S3,0.24
95GG16S1,0.44
95GG16S2,0.29
95GG16S3,0.28
95GG17S1,0.53
95GG17S2,0.25
95GG17S3,0.45
95GG18S1,0.70
95GG18S2,0.61
95GG19S1,0.62
95GG19S2,0.66
95GG20S1,0.58
95GG20S2,0.56
95GG21S1,0.69
95GG21S2,0.73
95GG21S3,0.69
95GG22S1,0.35
95GG22S2,0.30
95GG22S3,0.38
95GG23S1,0.08
95GG23S2,0.10
95GG23S3,0.11
95GG24S1,0.17
95GG24S2,0.26
95GG24S3,0.18
95GG25S1,0.43
95GG25S2,0.49
95GG25S3,0.41
95GG26S1,0.48
95GG26S2,0.40
95GG27S1,0.25
95GG27S2,0.50
95GG27S3,0.49
95GG27S4,0.56
95GG28S1,0.18
95GG28S2,0.31
95GG28S3,0.51
95GG29S1,0.44
95GG29S2,0.30
95GG30S1,0.32
95GG30S2,0.08
95GG30S3,0.11
95GG31S1,0.22
95GG31S2,0.38
95GG31S3,0.58
95GG32S1,0.49
95GG32S2,0.39
95GG32S3,0.29
95GG33S1,0.04
95GG33S2,0.05
95GG33S3,0.08
95GG34S1,0.30
95GG34S2,0.15
95GG34S3,0.11
95GG35S1,0.74
95GG35S2,0.67
95GG35S3,0.66
95GG36S1,0.21
95GG36S2,0.11
95GG36S3,0.13
95GG37S1,0.11
95GG37S2,0.17
95GG37S3,0.18
95GG38S1,0.13
95GG38S2,0.26
95GG38S3,0.11
95GG39S1,0.49
95GG39S2,0.53
95GG39S3,0.52
95GG40S1,0.63
95GG40S2,0.73
95GG41S1,0.03
95GG41S2,0.04
95GG41S3,0.13
95GG42S1,0.04
95GG42S2,0.02
95GG42S3,0.05
95GG42S4,0.07
95GG43S1,0.32
95GG43S2,0.19
95GG43S3,0.24
95GG44S1,0.55
95GG44S2,0.51
95GG45S1,0.05
95GG45S2,0.45
95GG45S3,0.20
95GG46S1,0.62
95GG46S2,0.56
95GG46S3,0.67
95GG47S1,0.61
95GG47S2,0.55
95GG47S3,0.49
95GG48S1,0.59
95GG48S2,0.90
95GG48S3,0.75
95GG49S1,0.11
95GG49S2,0.10
95GG49S3,0.16
95GG49S4,0.15
95GG50S1,0.35
95GG50S2,0.54
95GG50S3,0.40
95GG51S1,0.48
95GG51S2,0.47
95GG51S3,0.62
95HH01W1,0.18
95HH02S1,0.08
95HH02S2,0.03
95HH03W1,0.11
95HH04S1,0.09
95HH04S2,0.07
95HH05W1,0.28
95HH06S1,0.06
95HH06S2,0.12
95HH07W1,0.32
95HH08W1,0.13
95HH09W1,0.31
95HH10W1,0.08
95HH11W1,0.38
95HH12W1,0.18
95HH13W1,0.45
95HH14W1,0.40
95HH15W1,0.21
95HH16W1,0.14
95HH17W1,0.12
95II01S1,0.09
95II01S2,0.06
95II02S1,0.06
95II02S2,0.20
95II02S3,0.20
95II03S1,0.04
95II03S2,0.05
95II04S1,0.10
95II04S2,0.28
95II05S1,0.08
95II05S2,0.18
95II06S1,0.06
95II06S2,0.10
95II07W1,0.32
95II08W1,0.16
95II09S1,0.10
95II09S2,0.09
95II10W1,0.31
95II11W1,0.10
95II12W1,0.06
95II13W1,0.27
95II14W1,0.05
95II15S1,0.04
95II15S2,0.06
95II16W1,0.22
95II17W1,0.19
95II18W1,0.32
95II19S1,0.05
95II19S2,0.12
95II20W1,0.15
95II21W1,0.34
95II22W1,0.15
95II23W1,0.15
95JJ01W1,0.17
95JJ02W1,0.27
95JJ03S1,0.59
95JJ03S2,0.32
95JJ04S1,0.23
95JJ04S2,0.17
95JJ05W1,0.43
95JJ06W1,0.40
95JJ07W1,0.45
95JJ08S1,0.19
95JJ08S2,0.12
95JJ09W1,0.16
95JJ10W1,0.28
95JJ11S1,0.23
95JJ11S2,0.14
95JJ12W1,0.27
95JJ13S1,0.17
95JJ13S2,0.11
95JJ14W1,0.21
95JJ15W1,0.15
95JJ16W1,0.33
95JJ17W1,0.20
95JJ18W1,0.32
95JJ19S1,0.08
95JJ19S2,0.08
95JJ20S1,0.12
95JJ20S2,0.20
95JJ21W1,0.29
95JJ22W1,0.13
95KK01W1,0.39
95KK02W1,0.23
95KK03W1,0.27
95KK04W1,0.28
95KK05W1,0.32
95KK06W1,0.33
95KK07W1,0.16
95KK08W1,0.24
95KK09W1,0.28
95KK10W1,0.17
95KK11W1,0.28
95KK12W1,0.35
95KK13W1,0.18
95KK14W1,0.28
95KK15W1,0.21
95KK16W1,0.26
95LL01S1,0.16
95LL01S2,0.18
95LL02S1,0.15
95LL02S2,0.30
95LL03W1,0.36
95LL04W1,0.29
95LL05S1,0.09
95LL05S2,0.21
95LL06S1,0.13
95LL06S2,0.25
95LL07W1,0.40
95LL08S1,0.43
95LL08S2,0.36
95LL09S1,0.41
95LL09S2,0.40
95LL10S1,0.15
95LL10S2,0.16
95LL11S1,0.17
95LL11S2,0.11
95LL12S1,0.40
95LL12S2,0.60
95LL13S1,0.30
95LL13S2,0.53
95LL14S1,0.61
95LL14S2,0.33
95LL15S1,0.18
95LL15S2,0.15
95LL16S1,0.14
95LL16S2,0.20
95LL17W1,0.23
95LL18S1,0.14
95LL18S2,0.09
95LL19S1,0.12
95LL19S2,0.13
95LL20W1,0.32
95LL21W1,0.28
95LL22W1,0.37
95LL23W1,0.34
95LL24S1,0.14
95LL24S2,0.23
95LL25S1,0.14
95LL25S2,0.08
95LL26S1,0.38
95LL26S2,0.13
95MM01S1,0.51
95MM01S2,0.22
95MM01S3,0.20
95MM02S1,0.26
95MM02S2,0.11
95MM03W1,0.23
95MM04W1,0.44
95MM05W1,0.64
95MM06S1,0.41
95MM06S2,0.55
95MM07W1,0.37
95MM08S1,0.56
95MM08S2,0.18
95MM09S1,0.29
95MM09S2,0.20
95MM10S1,0.82
95MM10S2,0.64
95MM11W1,0.65
95MM12S1,0.34
95MM12S2,0.68
95MM12S3,0.47
95MM13S1,0.15
95MM13S2,0.65
95MM13S3,0.44
95MM13S4,0.47
95MM13S5,0.14
95MM14S1,0.22
95MM14S2,0.47
95MM15S1,0.20
95MM15S2,0.18
95MM16S1,0.45
95MM16S2,0.19
95MM17S1,0.17
95MM17S2,0.42
95MM18S1,0.31
95MM18S2,0.23
95MM19S1,0.17
95MM19S2,0.22
95MM20S1,0.34
95MM20S2,0.27
95MM21S1,0.27
95MM21S2,0.13
95MM22S1,0.27
95MM22S2,0.20
95MM23W1,0.46
95MM24W1,0.64
95MM25S1,0.66
95MM25S2,0.70
95MM25S3,0.48
95MM25S4,0.33
95MM26S1,0.47
95MM26S2,0.23
95MM27S1,0.59
95MM27S2,0.23
95MM28W1,0.60
95MM29W1,0.45
95MM30W1,0.64
95NN01S1,0.38
95NN01S2,0.26
95NN02W1,0.19
95NN03S1,0.18
95NN03S2,0.20
95NN04W1,0.49
95NN05W1,0.28
95NN06S1,0.35
95NN06S2,0.25
95NN07S1,0.26
95NN07S2,0.34
95NN08S1,0.16
95NN08S2,0.17
95NN09S1,0.09
95NN09S2,0.18
95NN10S1,0.25
95NN10S2,0.13
95NN11S1,0.22
95NN11S2,0.12
95NN12W1,0.26
95NN13W1,0.11
95NN14S1,0.25
95NN14S2,0.11
95NN15W1,0.26
95NN16S1,0.10
95NN16S2,0.10
95NN17W1,0.37
95NN18S1,0.28
95NN18S2,0.13
95NN19S1,0.12
95NN19S2,0.06
95NN20W1,0.15
95NN21W1,0.27
95NN22W1,0.19
95NN23S1,0.24
95NN23S2,0.28
95OO01W1,0.25
95OO02W1,0.15
95OO03W1,0.23
95OO04W1,0.27
95OO05W1,0.40
95OO06W1,0.18
95OO07W1,0.18
95OO08W1,0.18
95OO09W1,0.22
95OO10W1,0.42
95OO11W1,0.51
95OO12W1,0.32
95OO13W1,0.16
95OO14W1,0.22
95OO15W1,0.35
95OO16W1,0.19
95OO17W1,0.18
95OO18W1,0.17
95OO19W1,0.16
95OO20W1,0.19
95OO21W1,0.26
95OO22W1,0.32
95PP01W1,0.13
95PP02W1,0.22
95PP03W1,0.27
95PP04W1,0.16
95PP05W1,0.19
95PP06S1,0.27
95PP06S2,0.14
95PP07W1,0.19
95PP08W1,0.17
95PP09W1,0.46
95PP10W1,0.22
95PP11W1,0.31
95PP12W1,0.20
95PP13W1,0.39
95PP14S1,0.27
95PP14S2,0.18
95PP15W1,0.13
95PP16W1,0.11
95PP17W1,0.37
95PP18W1,0.17
95PP19W1,0.33
95PP20W1,0.27
95PP21W1,0.31
95PP22W1,0.22
95PP23W1,0.19
95QQ01W1,0.40
95QQ02W1,0.12
95QQ03W1,0.40
95QQ04W1,0.30
95QQ05W1,0.09
95QQ06W1,0.27
95QQ07W1,0.30
95QQ08W1,0.38
95QQ09W1,0.19
95QQ10W1,0.18
95QQ11W1,0.12
95QQ12W1,0.21
95QQ13W1,0.12
95QQ14S1,0.13
95QQ14S2,0.10
95QQ15W1,0.23
95RR01S1,0.20
95RR01S2,0.18
95RR02W1,0.26
95RR03W1,0.54
95RR04W1,0.40
95RR05S1,0.13
95RR05S2,0.40
95RR06W1,0.27
95RR07W1,0.20
95RR08W1,0.20
95RR09S1,0.31
95RR09S2,0.12
95RR10W1,0.59
95RR11W1,0.18
95RR12W1,0.24
95RR13W1,0.36
95RR14W1,0.31
95RR15W1,0.30
95SS01S1,0.08
95SS01S2,0.09
95SS02S1,0.08
95SS02S2,0.04
95SS03S1,0.09
95SS03S2,0.05
95SS04S1,0.22
95SS04S2,0.20
95SS04S3,0.12
95SS05S1,0.18
95SS05S2,0.08
95SS06S1,0.60
95SS06S2,0.65
95SS06S3,0.73
95SS07S1,0.45
95SS07S2,0.17
95SS07S3,0.21
95SS08S1,0.07
95SS08S2,0.12
95SS09S1,0.05
95SS09S2,0.08
95SS10S1,0.20
95SS10S2,0.08
95SS11S1,0.13
95SS11S2,0.09
95SS12W1,0.11
95SS13S1,0.27
95SS13S2,0.31
95SS14S1,0.42
95SS14S2,0.19
95SS15S1,0.09
95SS15S2,0.06
95SS16S1,0.24
95SS16S2,0.55
95SS17S1,0.17
95SS17S2,0.26
95SS18S1,0.33
95SS18S2,0.30
95SS19S1,0.17
95SS19S2,0.29
95SS20W1,0.11
95SS21S1,0.07
95SS21S2,0.10
95SS22S1,0.06
95SS22S2,0.09
95SS23S1,0.08
95SS23S2,0.14
95SS24S1,0.08
95SS24S2,0.12
95SS25W1,0.50
95SS26S1,0.52
95SS26S2,0.28
95SS27W1,0.25
95SS28W1,0.32
95SS29S1,0.63
95SS29S2,0.64
95SS30S1,0.03
95SS30S2,0.05
95TT01W1,0.18
95TT02W1,0.23
95TT03S1,0.27
95TT03S2,0.17
95TT04W1,0.20
95TT05S1,0.12
95TT05S2,0.37
95TT06W1,0.20
95TT07W1,0.13
95TT08W1,0.17
95TT09S1,0.22
95TT09S2,0.14
95TT10W1,0.36
95TT11S1,0.20
95TT11S2,0.19
95TT12W1,0.20
95TT13S1,0.21
95TT13S2,0.32
95TT14W1,0.22
95TT15W1,0.23
95TT16W1,0.20
95UU06W1,0.23
95UU09W1,0.19
95UU14W1,0.37
95UU99C1,0.35
95UU99C2,0.36
95UU99C3,0.21
95UU99C4,0.22
95UU99C5,0.23
95UU99C6,0.33
95VV01S1,0.19
95VV01S2,0.30
95VV02W1,0.52
95VV03W1,0.40
95VV04W1,0.18
95VV05S1,0.17
95VV05S2,0.12
95VV06W1,0.33
95VV07S1,0.36
95VV07S2,0.21
95VV08W1,0.41
95VV09W1,0.52
95VV10S1,0.52
95VV10S2,0.39
95VV11S1,0.21
95VV11S2,0.20
95VV12S1,0.44
95VV12S2,0.39
95VV13S1,0.18
95VV13S2,0.19
95VV14S1,0.27
95VV14S2,0.23
95VV15S1,0.54
95VV15S2,0.25
95VV16W1,0.27
95VV17S1,0.39
95VV17S2,0.35
95VV18S1,0.18
95VV18S2,0.34
95VV19S1,0.25
95VV19S2,0.34
95VV20W1,0.20
95VV21S1,0.25
95VV21S2,0.14
95VV22W1,0.28
95VV23W1,0.23
95VV24S1,0.18
95VV24S2,0.35
95VV25S1,0.41
95VV25S2,0.24
95VV26W1,0.27
95VV27W1,0.35
95VV28S1,0.25
95VV28S2,0.34
95VV29W1,0.20
95VV30S1,0.13
95VV30S2,0.33
95WW01S1,0.23
95WW01S2,0.22
95WW02S1,0.26
95WW02S2,0.21
95WW03S1,0.31
95WW03S2,0.11
95WW04S1,0.24
95WW04S2,0.11
95WW05S1,0.14
95WW05S2,0.24
95WW06S1,0.09
95WW06S2,0.08
95WW07S1,0.09
95WW07S2,0.09
95WW08S1,0.14
95WW08S2,0.14
95WW09S1,0.42
95WW09S2,0.07
95WW10S1,0.23
95WW10S2,0.28
95WW11S1,0.08
95WW11S2,0.11
95WW12W1,0.39
95WW13S1,0.11
95WW13S2,0.10
95WW14W1,0.50
95WW15S1,0.15
95WW15S2,0.10
95WW16S1,0.17
95WW16S2,0.31
95WW17W1,0.22
95WW18W1,0.19
95WW19S1,0.12
95WW19S2,0.03
95WW19S3,0.03
95WW20S1,0.11
95WW20S2,0.09
95WW20S3,0.06
95WW21S1,0.45
95WW21S2,0.25
95WW22S1,0.15
95WW22S2,0.41
95WW23S1,0.21
95WW23S2,0.04
95WW24S1,0.31
95WW24S2,0.45
95WW25W1,0.38
95XX01S1,0.06
95XX01S2,0.07
95XX01S3,0.09
95XX02W1,0.07
95XX03S1,0.08
95XX03S2,0.06
95XX04S1,0.07
95XX04S2,0.15
95XX05W1,0.19
95XX06S1,0.29
95XX06S2,0.16
95XX07S1,0.10
95XX07S2,0.12
95XX08S1,0.10
95XX08S2,0.07
95XX09S1,0.18
95XX09S2,0.14
95XX10S1,0.27
95XX10S2,0.09
95XX10S3,0.26
95XX11S1,0.20
95XX11S2,0.15
95XX11S3,0.38
95XX12W1,0.06
95XX13W1,0.05
95XX14W1,0.04
95XX15W1,0.34
95XX16W1,0.11
95XX17S1,0.28
95XX17S2,0.16
95XX18W1,0.16
95XX19W1,0.08
95XX20S1,0.25
95XX20S2,0.06
95XX21W1,0.10
95XX22W1,0.15
95XX23W1,0.19
95XX24S1,0.05
95XX24S2,0.12
95XX25W1,0.32
95YY01W1,0.24
95YY02W1,0.31
95YY03W1,0.16
95YY04W1,0.29
95YY05W1,0.24
95YY06W1,0.31
95YY07W1,0.29
95YY08W1,0.28
95YY09W1,0.17
95YY10W1,0.12
95YY11W1,0.34
95YY12W1,0.19
95YY13S1,0.37
95YY13S2,0.36
95YY14S1,0.27
95YY14S2,0.25
95YY15S1,0.13
95YY15S2,0.49
95YY16W1,0.18
95YY17W1,0.22
95YY18W1,0.28
95YY19W1,0.29
95YY20W1,0.26
95YY21W1,0.18
95ZZ01W1,0.27
95ZZ02W1,0.58
95ZZ03W1,0.49
95ZZ04W1,0.28
95ZZ05W1,0.32
95ZZ06W1,0.72
95ZZ07W1,0.37
95ZZ08W1,0.39
95ZZ09W1,0.39
95ZZ10W1,0.35
95ZZ11W1,0.24
95ZZ12W1,0.36
95ZZ13W1,0.25
95ZZ14S1,0.36
95ZZ14S2,0.22
95ZZ15W1,0.31
95ZZ16S1,0.34
95ZZ16S2,0.39
