name,lsoa,indicator_income,indicator_employment
Carmarthen Town North 1 ,W01000637,21,13
Carmarthen Town North 2 ,W01000638,27,16
Carmarthen Town North 3 ,W01000639,18,12
Carmarthen Town North 4 ,W01000640,4,4
Carmarthen Town South 1 ,W01000641,20,17
Carmarthen Town South 2 ,W01000642,9,7
Carmarthen Town West 1 ,W01000643,16,10
Carmarthen Town West 2 ,W01000644,9,5
Carmarthen Town West 3 ,W01000645,11,8
Cenarth ,W01000646,16,10
Cilycwm ,W01000647,10,6
Cynwyl Elfed 1 ,W01000648,9,5
Cynwyl Elfed 2 ,W01000649,7,5
Cynwyl Gaeo ,W01000650,10,6
Dafen 1 ,W01000651,12,9
Dafen 2 ,W01000652,20,14
Elli 1 ,W01000653,12,11
Elli 2 ,W01000654,19,14
Felinfoel ,W01000655,27,15
Garnant ,W01000656,22,15
Glanamman 1 ,W01000657,22,15
Glanamman 2 ,W01000658,19,17
Glanymor 1 ,W01000659,26,16
Glanymor 2 ,W01000660,27,20
Glyn (Carmarthenshire) ,W01000662,13,10
Gorslas 1 ,W01000663,13,9
Gorslas 2 ,W01000664,10,10
Hendy 1 ,W01000665,7,6
Hendy 2 ,W01000666,13,9
Hengoed (Carmarthenshire) 1 ,W01000667,11,10
Kidwelly 1 ,W01000670,27,19
Kidwelly 2 ,W01000671,13,10
Laugharne Township 1 ,W01000672,14,9
Laugharne Township 2 ,W01000673,12,10
Llanboidy ,W01000674,8,5
Llanddarog ,W01000675,8,5
Llandeilo 1 ,W01000676,7,4
Llandeilo 2 ,W01000677,20,14
Llandovery 1 ,W01000678,14,8
Llandovery 2 ,W01000679,16,8
Llandybie 1 ,W01000680,10,7
Llandybie 2 ,W01000681,20,15
Llanegwad 1 ,W01000682,9,6
Llanegwad 2 ,W01000683,13,9
Llanfihangel Aberbythych ,W01000684,9,6
Llanfihangel-ar-Arth 1 ,W01000685,15,11
Llanfihangel-ar-Arth 2 ,W01000686,10,7
Llangadog ,W01000687,10,9
Llangeler 1 ,W01000688,21,13
Llangeler 2 ,W01000689,11,7
Llangennech 1 ,W01000690,11,9
Llangennech 2 ,W01000691,12,9
Llangennech 3 ,W01000692,12,9
Llangunnor 1 ,W01000693,16,11
Llangunnor 2 ,W01000694,5,5
Llangyndeyrn 1 ,W01000695,18,13
Llangyndeyrn 2 ,W01000696,14,10
Llannon 1 ,W01000697,16,10
Llannon 2 ,W01000698,14,11
Llannon 3 ,W01000699,8,6
Llansteffan ,W01000700,9,5
Llanybydder 1 ,W01000701,11,8
Llanybydder 2 ,W01000702,16,8
Lliedi 1 ,W01000703,21,15
Lliedi 2 ,W01000704,11,8
Lliedi 3 ,W01000705,24,15
Llwynhendy 1 ,W01000706,18,11
Llwynhendy 2 ,W01000707,29,18
Llwynhendy 3 ,W01000708,31,21
Manordeilo and Salem ,W01000709,10,8
Pembrey 1 ,W01000710,9,6
Pembrey 2 ,W01000711,27,17
Penygroes (Carmarthenshire) 1 ,W01000712,11,9
Penygroes (Carmarthenshire) 2 ,W01000713,14,12
Pontamman 1 ,W01000714,21,17
Pontamman 2 ,W01000715,9,8
Pontyberem 1 ,W01000716,9,7
Pontyberem 2 ,W01000717,16,13
Quarter Bach 1 ,W01000718,19,14
Quarter Bach 2 ,W01000719,14,11
St. Clears 1 ,W01000720,12,10
St. Clears 2 ,W01000721,11,7
St. Ishmael 1 ,W01000722,7,4
St. Ishmael 2 ,W01000723,12,8
Saron 1 ,W01000724,16,11
Saron 2 ,W01000725,16,12
Swiss Valley 1 ,W01000726,5,5
Swiss Valley 2 ,W01000727,10,8
Trelech ,W01000728,9,6
Trimsaran 1 ,W01000729,24,16
Trimsaran 2 ,W01000730,21,13
Tycroes ,W01000731,12,9
Tyisha 1 ,W01000732,20,14
Tyisha 2 ,W01000733,36,28
Tyisha 3 ,W01000734,27,20
Whitland ,W01000735,11,6
Glanymor 3 ,W01001923,17,11
Glanymor 4 ,W01001924,33,22
Hengoed 2 ,W01001925,14,11
Bishopston 1 ,W01000736,4,4
Bishopston 2 ,W01000737,7,4
Bonymaen 1 ,W01000738,35,23
Bonymaen 2 ,W01000739,24,12
Bonymaen 3 ,W01000740,14,10
Bonymaen 4 ,W01000741,28,17
Castle 1 ,W01000742,41,30
Castle 3 ,W01000744,25,16
Castle 4 ,W01000745,22,12
Castle 5 ,W01000746,22,12
Castle 6 ,W01000747,18,9
Castle 8 ,W01000749,17,10
Clydach 1 ,W01000750,23,17
Clydach 2 ,W01000751,6,6
Clydach 3 ,W01000752,29,17
Clydach 4 ,W01000753,21,12
Clydach 5 ,W01000754,17,15
Cockett 1 ,W01000755,16,10
Cockett 2 ,W01000756,25,23
Cockett 3 ,W01000757,19,14
Cockett 4 ,W01000758,14,9
Cockett 5 ,W01000759,10,8
Cockett 6 ,W01000760,18,13
Cockett 7 ,W01000761,19,10
Cockett 8 ,W01000762,31,16
Cwmbwrla 1 ,W01000763,20,10
Cwmbwrla 2 ,W01000764,17,8
Cwmbwrla 3 ,W01000765,19,11
Cwmbwrla 4 ,W01000766,14,8
Cwmbwrla 5 ,W01000767,24,17
Dunvant 1 ,W01000768,11,8
Dunvant 2 ,W01000769,7,6
Dunvant 3 ,W01000770,6,5
Fairwood 2 ,W01000771,11,8
Fairwood 1 ,W01000772,8,4
Gorseinon 1 ,W01000773,17,12
Gorseinon 2 ,W01000774,14,11
Gower (Swansea) 1 ,W01000775,5,4
Gower (Swansea) 2 ,W01000776,5,4
Gowerton 1 ,W01000777,9,5
Gowerton 2 ,W01000778,11,8
Gowerton 3 ,W01000779,14,9
Killay North 2 ,W01000781,5,4
Killay South 1 ,W01000782,8,5
Kingsbridge 1 ,W01000784,11,8
Kingsbridge 2 ,W01000785,3,4
Kingsbridge 3 ,W01000786,7,7
Landore 1 ,W01000787,24,14
Landore 2 ,W01000788,29,20
Landore 3 ,W01000789,28,18
Landore 4 ,W01000790,23,14
Llangyfelach 1 ,W01000791,5,5
Llangyfelach 2 ,W01000792,6,4
Llangyfelach 3 ,W01000793,4,4
Llansamlet 1 ,W01000794,12,7
Llansamlet 2 ,W01000795,8,7
Llansamlet 3 ,W01000796,7,5
Llansamlet 4 ,W01000797,10,9
Llansamlet 5 ,W01000798,11,11
Llansamlet 6 ,W01000799,29,14
Llansamlet 7 ,W01000800,7,5
Llansamlet 8 ,W01000801,31,21
Lower Loughor ,W01000802,18,13
Mawr ,W01000803,12,7
Mayals 1 ,W01000804,5,3
Mayals 2 ,W01000805,3,2
Morriston 1 ,W01000806,15,9
Morriston 2 ,W01000807,6,6
Morriston 3 ,W01000808,11,10
Morriston 4 ,W01000809,17,13
Morriston 5 ,W01000810,38,23
Morriston 6 ,W01000811,23,17
Morriston 7 ,W01000812,31,21
Morriston 8 ,W01000813,11,9
Morriston 9 ,W01000814,27,17
Morriston 10 ,W01000815,7,7
Morriston 11 ,W01000816,7,5
Mynyddbach 1 ,W01000817,40,26
Mynyddbach 2 ,W01000818,25,14
Mynyddbach 3 ,W01000819,8,7
Mynyddbach 4 ,W01000820,13,12
Mynyddbach 5 ,W01000821,19,12
Mynyddbach 6 ,W01000822,13,9
Newton (Swansea) 1 ,W01000823,3,3
Newton (Swansea) 2 ,W01000824,7,7
Oystermouth 1 ,W01000825,8,5
Oystermouth 2 ,W01000826,5,5
Oystermouth 3 ,W01000827,5,3
Penclawdd 1 ,W01000828,5,5
Penclawdd 2 ,W01000829,13,9
Penderry 1 ,W01000830,42,21
Penderry 2 ,W01000831,34,21
Penderry 3 ,W01000832,41,27
Penderry 4 ,W01000833,39,24
Penderry 5 ,W01000834,33,16
Penderry 6 ,W01000835,33,20
Penderry 7 ,W01000836,29,16
Penllergaer 1 ,W01000837,3,4
Penllergaer 2 ,W01000838,27,16
Pennard 1 ,W01000839,7,5
Pennard 2 ,W01000840,5,4
Penyrheol (Swansea) 1 ,W01000841,18,12
Penyrheol (Swansea) 2 ,W01000842,11,7
Penyrheol (Swansea) 3 ,W01000843,12,8
Penyrheol (Swansea) 4 ,W01000844,26,20
Pontardulais 1 ,W01000845,8,6
Pontardulais 2 ,W01000846,17,12
Pontardulais 3 ,W01000847,14,10
Pontardulais 4 ,W01000848,28,15
St. Thomas 1 ,W01000849,26,15
St. Thomas 2 ,W01000850,21,12
St. Thomas 3 ,W01000851,17,11
St. Thomas 4 ,W01000852,18,12
Sketty 1 ,W01000853,7,5
Sketty 2 ,W01000854,5,5
Sketty 3 ,W01000855,6,5
Sketty 4 ,W01000856,29,22
Sketty 5 ,W01000857,19,13
Sketty 6 ,W01000858,5,4
Sketty 7 ,W01000859,7,8
Sketty 8 ,W01000860,3,3
Sketty 9 ,W01000861,4,2
Townhill 1 ,W01000862,43,24
Townhill 2 ,W01000863,42,26
Townhill 3 ,W01000864,42,23
Townhill 4 ,W01000865,28,14
Townhill 5 ,W01000866,44,24
Townhill 6 ,W01000867,39,24
Uplands 1 ,W01000868,5,4
Uplands 2 ,W01000869,16,13
Uplands 3 ,W01000870,7,5
Uplands 4 ,W01000871,15,8
Uplands 5 ,W01000872,6,4
Uplands 6 ,W01000873,7,5
Uplands 7 ,W01000874,6,3
Uplands 8 ,W01000875,8,6
Uplands 9 ,W01000876,4,2
Upper Loughor 1 ,W01000877,8,7
Upper Loughor 2 ,W01000878,11,8
West Cross 1 ,W01000879,5,3
West Cross 2 ,W01000880,7,6
West Cross 3 ,W01000881,26,20
West Cross 4 ,W01000882,24,16
Castle 7 East ,W01001938,7,7
Castle 2 North ,W01001955,39,33
Killay 3 ,W01001956,5,3
Castle 7 West ,W01001957,22,11
Castle 2 South ,W01001958,11,8
Aberavon 1 ,W01000883,6,7
Aberavon 2 ,W01000884,30,21
Aberavon 3 ,W01000885,27,19
Aberavon 4 ,W01000886,37,26
Aberdulais ,W01000887,17,12
Allt-wen ,W01000888,13,8
Baglan 1 ,W01000889,10,12
Baglan 2 ,W01000890,4,6
Baglan 3 ,W01000891,18,12
Baglan 4 ,W01000892,11,8
Blaengwrach ,W01000893,19,13
Briton Ferry East 1 ,W01000894,15,13
Briton Ferry East 2 ,W01000895,27,22
Briton Ferry West 1 ,W01000896,39,26
Briton Ferry West 2 ,W01000897,22,16
Bryn and Cwmavon 1 ,W01000898,13,10
Bryn and Cwmavon 2 ,W01000899,9,8
Bryn and Cwmavon 3 ,W01000900,29,20
Bryn and Cwmavon 4 ,W01000901,21,14
Bryn-coch North 1 ,W01000902,9,9
Bryn-coch North 2 ,W01000903,4,7
Bryn-coch South 1 ,W01000904,5,5
Bryn-coch South 2 ,W01000905,13,9
Bryn-coch South 3 ,W01000906,11,8
Bryn-coch South 4 ,W01000907,24,17
Cadoxton ,W01000908,8,7
Cimla 1 ,W01000909,17,12
Cimla 2 ,W01000910,7,7
Cimla 3 ,W01000911,6,6
Coedffranc Central 1 ,W01000912,21,15
Coedffranc Central 2 ,W01000913,16,13
Coedffranc Central 3 ,W01000914,29,16
Coedffranc North 1 ,W01000915,12,9
Coedffranc North 2 ,W01000916,11,8
Coedffranc West ,W01000917,8,7
Crynant ,W01000918,13,10
Cwmllynfell ,W01000919,13,11
Cymmer (Neath Port Talbot) 1 ,W01000920,20,15
Cymmer (Neath Port Talbot) 2 ,W01000921,38,27
Dyffryn 1 ,W01000922,21,16
Dyffryn 2 ,W01000923,8,8
Glyncorrwg ,W01000924,25,18
Glynneath 1 ,W01000925,24,15
Glynneath 2 ,W01000926,15,10
Godre'r graig ,W01000927,14,11
Gwaun-Cae-Gurwen 1 ,W01000928,19,15
Gwaun-Cae-Gurwen 2 ,W01000929,25,16
Gwynfi ,W01000930,27,17
Lower Brynamman ,W01000931,20,15
Margam 1 ,W01000932,21,14
Margam 2 ,W01000933,8,5
Neath East 1 ,W01000934,31,23
Neath East 2 ,W01000935,31,26
Neath East 3 ,W01000936,30,19
Neath East 4 ,W01000937,23,19
Neath North 1 ,W01000938,11,9
Neath North 2 ,W01000939,36,31
Neath North 3 ,W01000940,30,19
Neath South 1 ,W01000941,27,19
Neath South 2 ,W01000942,28,21
Neath South 3 ,W01000943,6,7
Onllwyn ,W01000944,20,15
Pelenna ,W01000945,19,14
Pontardawe 1 ,W01000946,18,13
Pontardawe 2 ,W01000947,22,14
Pontardawe 3 ,W01000948,16,13
Port Talbot 1 ,W01000949,13,10
Port Talbot 2 ,W01000950,17,13
Port Talbot 3 ,W01000951,24,18
Port Talbot 4 ,W01000952,15,11
Resolven 1 ,W01000953,20,14
Resolven 2 ,W01000954,13,9
Rhos 1 ,W01000955,12,9
Rhos 2 ,W01000956,7,6
Sandfields East 1 ,W01000957,34,23
Sandfields East 2 ,W01000958,36,23
Sandfields East 3 ,W01000959,14,11
Sandfields East 4 ,W01000960,24,18
Sandfields West 1 ,W01000961,26,16
Sandfields West 2 ,W01000962,36,23
Sandfields West 3 ,W01000963,34,20
Sandfields West 4 ,W01000964,30,19
Seven Sisters ,W01000965,19,14
Tai-bach 1 ,W01000966,20,15
Tai-bach 2 ,W01000967,28,21
Tai-bach 3 ,W01000968,17,12
Tonna 1 ,W01000969,7,6
Tonna 2 ,W01000970,16,12
Trebanos ,W01000971,15,11
Ystalyfera 2 ,W01000973,24,17
Ystalyfera 1 ,W01001900,23,16
Aberkenfig ,W01000974,10,8
Bettws (Bridgend) ,W01000975,32,19
Blackmill 1 ,W01000976,25,18
Blackmill 2 ,W01000977,26,15
Blaengarw ,W01000978,19,12
Brackla 1 ,W01000979,13,8
Brackla 2 ,W01000980,15,11
Brackla 3 ,W01000981,38,25
Brackla 4 ,W01000982,14,8
Brackla 5 ,W01000983,10,5
Brackla 6 ,W01000984,13,6
Brackla 7 ,W01000985,4,3
Bryncethin ,W01000986,12,8
Bryncoch ,W01000987,20,12
Bryntirion Laleston and Merthyr Mawr 2 ,W01000989,8,4
Bryntirion Laleston and Merthyr Mawr 3 ,W01000990,23,18
Caerau (Bridgend) 1 ,W01000991,46,30
Caerau (Bridgend) 2 ,W01000992,35,26
Caerau (Bridgend) 3 ,W01000993,30,20
Caerau (Bridgend) 4 ,W01000994,24,18
Caerau (Bridgend) 5 ,W01000995,18,13
Cefn Cribwr ,W01000996,15,12
Cefn Glas ,W01000997,13,10
Coity ,W01000998,6,3
Cornelly 1 ,W01000999,22,14
Cornelly 2 ,W01001000,13,9
Cornelly 3 ,W01001001,20,13
Cornelly 4 ,W01001002,28,17
Coychurch Lower ,W01001003,7,6
Felindre 1 ,W01001004,20,13
Felindre 2 ,W01001005,9,6
Hendre (Bridgend) 1 ,W01001006,5,5
Hendre (Bridgend) 2 ,W01001007,17,9
Litchard ,W01001008,5,5
Llangeinor ,W01001009,15,10
Llangewydd and Brynhyfryd 1 ,W01001010,24,17
Llangewydd and Brynhyfryd 2 ,W01001011,10,7
Llangynwyd 1 ,W01001012,8,6
Llangynwyd 2 ,W01001013,18,14
Maesteg East 1 ,W01001014,23,16
Maesteg East 2 ,W01001015,24,17
Maesteg East 3 ,W01001016,12,12
Maesteg West 1 ,W01001017,13,9
Maesteg West 2 ,W01001018,21,18
Maesteg West 3 ,W01001019,26,17
Maesteg West 4 ,W01001020,23,17
Morfa 1 ,W01001021,21,15
Morfa 2 ,W01001022,33,22
Morfa 3 ,W01001023,23,19
Nant-y-moel 1 ,W01001024,24,16
Nant-y-moel 2 ,W01001025,17,12
Newcastle 1 ,W01001026,23,12
Newcastle 2 ,W01001027,12,8
Newcastle 3 ,W01001028,12,9
Newton (Bridgend) 1 ,W01001029,8,7
Newton (Bridgend) 2 ,W01001030,11,10
Nottage 1 ,W01001031,5,4
Nottage 2 ,W01001032,9,5
Ogmore Vale 1 ,W01001033,16,11
Ogmore Vale 2 ,W01001034,23,18
Oldcastle 1 ,W01001035,26,16
Oldcastle 2 ,W01001036,7,5
Oldcastle 3 ,W01001037,5,5
Pendre ,W01001038,14,10
Penprysg 1 ,W01001039,10,7
Penprysg 2 ,W01001040,12,8
Pen-y-fai ,W01001041,5,7
Pontycymmer 1 ,W01001042,19,15
Pontycymmer 2 ,W01001043,20,16
Porthcawl East Central 1 ,W01001044,21,14
Porthcawl East Central 2 ,W01001045,20,17
Porthcawl West Central 1 ,W01001046,21,18
Porthcawl West Central 2 ,W01001047,13,10
Pyle 1 ,W01001048,11,7
Pyle 2 ,W01001049,27,17
Pyle 3 ,W01001050,23,16
Pyle 4 ,W01001051,22,13
Pyle 5 ,W01001052,27,18
Rest Bay 1 ,W01001053,7,6
Rest Bay 2 ,W01001054,6,3
Sarn 1 ,W01001055,30,18
Sarn 2 ,W01001056,16,10
Ynysawdre 1 ,W01001057,22,15
Ynysawdre 2 ,W01001058,11,8
Bryntirion Laleston and Merthyr Mawr 1 ,W01001918,5,4
Bryntirion Laleston and Merthyr Mawr 4 ,W01001919,4,3
Bryntirion Laleston and Merthyr Mawr 5 ,W01001920,6,4
Bryntirion Laleston and Merthyr Mawr 6 ,W01001921,13,7
Baruc 1 ,W01001059,9,8
Baruc 2 ,W01001060,5,4
Baruc 3 ,W01001061,16,12
Baruc 4 ,W01001062,10,7
Buttrills 1 ,W01001063,17,10
Buttrills 2 ,W01001064,28,21
Buttrills 3 ,W01001065,17,8
Buttrills 4 ,W01001066,19,12
Cadoc 1 ,W01001067,32,19
Cadoc 2 ,W01001068,16,10
Cadoc 3 ,W01001069,28,19
Cadoc 4 ,W01001070,26,19
Cadoc 5 ,W01001071,19,12
Cadoc 6 ,W01001072,7,4
Castleland 1 ,W01001073,28,20
Cornerswell 1 ,W01001075,7,5
Cornerswell 2 ,W01001076,12,7
Cornerswell 3 ,W01001077,14,7
Cornerswell 4 ,W01001078,9,5
Court 1 ,W01001079,24,16
Court 2 ,W01001080,24,15
Court 3 ,W01001081,34,19
Cowbridge 1 ,W01001082,7,5
Cowbridge 2 ,W01001083,2,1
Cowbridge 3 ,W01001084,5,4
Cowbridge 4 ,W01001085,3,3
Dinas Powys 1 ,W01001086,5,3
Dinas Powys 2 ,W01001087,6,4
Dinas Powys 3 ,W01001088,18,12
Dinas Powys 4 ,W01001089,5,4
Dinas Powys 5 ,W01001090,4,3
Dyfan 1 ,W01001091,6,4
Dyfan 2 ,W01001092,18,12
Dyfan 3 ,W01001093,24,16
Gibbonsdown 1 ,W01001094,30,17
Gibbonsdown 2 ,W01001095,38,21
Gibbonsdown 3 ,W01001096,18,11
Gibbonsdown 4 ,W01001097,32,16
Illtyd 1 ,W01001098,5,5
Illtyd 2 ,W01001099,23,12
Illtyd 3 ,W01001100,7,5
Illtyd 4 ,W01001101,17,11
Illtyd 5 ,W01001102,16,10
Illtyd 6 ,W01001103,6,4
Llandough ,W01001104,7,5
Llandow/Ewenny ,W01001105,5,3
Llantwit Major 1 ,W01001106,6,4
Llantwit Major 2 ,W01001107,8,6
Llantwit Major 3 ,W01001108,10,7
Llantwit Major 4 ,W01001109,11,7
Llantwit Major 5 ,W01001110,5,3
Llantwit Major 6 ,W01001111,20,12
Llantwit Major 7 ,W01001112,6,3
Peterston-super-Ely ,W01001113,4,3
Plymouth (The Vale of Glamorgan) 1 ,W01001114,2,2
Plymouth (The Vale of Glamorgan) 2 ,W01001115,8,5
Plymouth (The Vale of Glamorgan) 3 ,W01001116,5,2
Rhoose 1 ,W01001117,10,7
Rhoose 2 ,W01001118,11,7
Rhoose 3 ,W01001119,7,5
Rhoose 4 ,W01001120,5,4
St. Athan 1 ,W01001121,18,12
St. Athan 2 ,W01001122,11,5
St. Augustine's 1 ,W01001123,9,6
St. Augustine's 2 ,W01001124,10,7
St. Augustine's 3 ,W01001125,7,5
St. Augustine's 4 ,W01001126,10,6
St. Bride's Major 1 ,W01001127,5,4
St. Bride's Major 2 ,W01001128,6,5
Stanwell 1 ,W01001129,15,7
Stanwell 2 ,W01001130,4,3
Stanwell 3 ,W01001131,22,11
Sully 1 ,W01001132,6,4
Sully 2 ,W01001133,4,4
Sully 3 ,W01001134,6,5
Wenvoe 1 ,W01001135,4,3
Wenvoe 2 ,W01001136,6,4
Castleland 2G ,W01001910,24,16
Castleland 2H ,W01001911,24,14
Adamsdown 1 ,W01001694,28,12
Adamsdown 2 ,W01001695,21,8
Adamsdown 3 ,W01001696,37,20
Adamsdown 4 ,W01001697,27,15
Adamsdown 5 ,W01001698,29,16
Butetown 1 ,W01001699,33,15
Caerau (Cardiff) 1 ,W01001702,22,13
Caerau (Cardiff) 2 ,W01001703,34,21
Caerau (Cardiff) 3 ,W01001704,40,23
Caerau (Cardiff) 4 ,W01001705,31,17
Caerau (Cardiff) 5 ,W01001706,20,15
Caerau (Cardiff) 6 ,W01001707,31,19
Caerau (Cardiff) 7 ,W01001708,34,23
Canton 1 ,W01001709,15,9
Canton 2 ,W01001710,20,9
Canton 3 ,W01001711,25,14
Canton 4 ,W01001712,11,8
Canton 5 ,W01001713,18,10
Canton 6 ,W01001714,5,4
Canton 7 ,W01001715,11,7
Canton 8 ,W01001716,9,6
Canton 9 ,W01001717,17,8
Cathays 1 ,W01001718,8,3
Cathays 2 ,W01001719,3,1
Cathays 3 ,W01001720,6,2
Cathays 4 ,W01001721,5,2
Cathays 5 ,W01001722,6,3
Cathays 6 ,W01001724,3,2
Cathays 7 ,W01001725,4,2
Cathays 8 ,W01001726,12,4
Creigiau/St. Fagans 1 ,W01001727,5,5
Creigiau/St. Fagans 2 ,W01001728,4,2
Creigiau/St. Fagans 3 ,W01001729,6,4
Cyncoed 1 ,W01001730,4,2
Cyncoed 2 ,W01001731,7,4
Cyncoed 3 ,W01001732,5,4
Cyncoed 4 ,W01001733,4,3
Cyncoed 5 ,W01001734,4,3
Cyncoed 6 ,W01001735,6,3
Cyncoed 7 ,W01001736,4,3
Ely 1 ,W01001737,39,23
Ely 2 ,W01001738,47,19
Ely 3 ,W01001739,44,23
Ely 4 ,W01001740,44,22
Ely 5 ,W01001741,52,23
Ely 6 ,W01001742,44,21
Ely 7 ,W01001743,10,6
Ely 8 ,W01001744,38,21
Ely 9 ,W01001745,8,4
Ely 10 ,W01001746,33,21
Fairwater (Cardiff) 1 ,W01001747,12,7
Fairwater (Cardiff) 2 ,W01001748,19,13
Fairwater (Cardiff) 3 ,W01001749,23,13
Fairwater (Cardiff) 4 ,W01001750,30,21
Fairwater (Cardiff) 5 ,W01001751,37,20
Fairwater (Cardiff) 6 ,W01001752,8,5
Fairwater (Cardiff) 7 ,W01001753,34,20
Fairwater (Cardiff) 8 ,W01001754,12,8
Gabalfa 1 ,W01001755,6,4
Gabalfa 2 ,W01001756,9,4
Gabalfa 3 ,W01001757,10,4
Gabalfa 4 ,W01001758,7,3
Grangetown 1 ,W01001759,18,10
Grangetown 2 ,W01001760,19,10
Grangetown 3 ,W01001761,27,14
Grangetown 4 ,W01001762,35,19
Grangetown 5 ,W01001764,25,9
Grangetown 6 ,W01001765,24,13
Grangetown 7 ,W01001766,26,11
Grangetown 8 ,W01001767,22,9
Grangetown 9 ,W01001768,30,13
Heath 1 ,W01001769,2,2
Heath 2 ,W01001770,8,4
Heath 3 ,W01001771,5,4
Heath 4 ,W01001772,6,5
Heath 5 ,W01001773,8,5
Heath 6 ,W01001774,3,2
Heath 7 ,W01001775,8,6
Heath 8 ,W01001776,6,4
Lisvane 1 ,W01001777,4,3
Lisvane 2 ,W01001778,3,2
Llandaff 1 ,W01001779,4,3
Llandaff 2 ,W01001780,5,4
Llandaff 3 ,W01001781,10,8
Llandaff 4 ,W01001782,3,4
Llandaff 5 ,W01001783,6,4
Llandaff 6 ,W01001784,8,6
Llandaff North 1 ,W01001785,35,19
Llandaff North 2 ,W01001786,15,8
Llandaff North 3 ,W01001787,22,13
Llandaff North 4 ,W01001788,32,20
Llandaff North 5 ,W01001789,9,7
Llandaff North 6 ,W01001790,23,11
Llanishen 1 ,W01001791,10,8
Llanishen 2 ,W01001792,22,15
Llanishen 3 ,W01001793,5,3
Llanishen 4 ,W01001794,6,3
Llanishen 5 ,W01001795,4,3
Llanishen 6 ,W01001796,9,6
Llanishen 7 ,W01001797,10,6
Llanishen 8 ,W01001798,7,5
Llanishen 9 ,W01001799,5,4
Llanishen 10 ,W01001800,21,12
Llanrumney 1 ,W01001802,19,13
Llanrumney 2 ,W01001803,25,15
Llanrumney 3 ,W01001804,25,12
Llanrumney 4 ,W01001805,24,12
Llanrumney 5 ,W01001806,13,9
Llanrumney 6 ,W01001807,39,18
Llanrumney 7 ,W01001808,37,18
Pentwyn 1 ,W01001809,14,10
Pentwyn 2 ,W01001810,31,14
Pentwyn 3 ,W01001811,41,20
Pentwyn 4 ,W01001812,24,10
Pentwyn 5 ,W01001813,35,24
Pentwyn 6 ,W01001814,15,9
Pentwyn 7 ,W01001815,13,6
Pentwyn 8 ,W01001816,25,13
Pentwyn 9 ,W01001817,16,9
Pentwyn 10 ,W01001818,17,7
Pentyrch 1 ,W01001819,6,5
Pentyrch 2 ,W01001820,9,6
Penylan 1 ,W01001821,7,4
Penylan 2 ,W01001822,13,7
Penylan 3 ,W01001823,3,3
Penylan 4 ,W01001824,11,9
Penylan 5 ,W01001825,12,10
Penylan 6 ,W01001826,5,4
Penylan 7 ,W01001827,6,3
Penylan 8 ,W01001828,6,4
Plasnewydd 1 ,W01001829,17,6
Plasnewydd 2 ,W01001830,21,15
Plasnewydd 3 ,W01001831,15,7
Plasnewydd 4 ,W01001832,11,5
Plasnewydd 5 ,W01001833,18,13
Plasnewydd 6 ,W01001834,18,10
Plasnewydd 7 ,W01001835,32,26
Plasnewydd 8 ,W01001836,10,5
Plasnewydd 9 ,W01001837,13,6
Plasnewydd 10 ,W01001838,10,5
Plasnewydd 11 ,W01001839,13,5
Pontprennau/Old St. Mellons 1 ,W01001840,13,9
